part_query,color,x,y,z,rx,ry,rz
18860,red,170,10,0,0,0,0
18860,white,190,10,0,0,0,0
18860,red,210,10,0,0,0,0
18860,white,230,10,0,0,0,0
18860,red,250,10,0,0,0,0
18860,white,270,10,0,0,0,0
18860,red,290,10,0,0,0,0
18860,white,310,10,0,0,0,0
18860,white,-310,30,0,0,0,0
18860,red,-290,30,0,0,0,0
18860,white,-270,30,0,0,0,0
18860,red,-250,30,0,0,0,0
18860,white,-230,30,0,0,0,0
18860,red,-210,30,0,0,0,0
18860,white,-190,30,0,0,0,0
18860,red,-170,30,0,0,0,0
18860,white,-150,30,0,0,0,0
18860,red,-130,30,0,0,0,0
18860,white,-110,30,0,0,0,0
18860,red,-90,30,0,0,0,0
18860,white,-70,30,0,0,0,0
18860,red,-50,30,0,0,0,0
18860,white,-30,30,0,0,0,0
18860,red,-10,30,0,0,0,0
18860,white,10,30,0,0,0,0
18860,red,30,30,0,0,0,0
18860,white,50,30,0,0,0,0
18860,red,70,30,0,0,0,0
18860,white,90,30,0,0,0,0
18860,red,110,30,0,0,0,0
18860,white,130,30,0,0,0,0
18860,red,150,30,0,0,0,0
18860,white,170,30,0,0,0,0
18860,red,190,30,0,0,0,0
18860,white,210,30,0,0,0,0
18860,red,230,30,0,0,0,0
18860,white,250,30,0,0,0,0
18860,red,270,30,0,0,0,0
18860,white,290,30,0,0,0,0
18860,red,310,30,0,0,0,0
18860,red,-310,50,0,0,0,0
18860,white,-290,50,0,0,0,0
18860,red,-270,50,0,0,0,0
18860,white,-250,50,0,0,0,0
18860,red,-230,50,0,0,0,0
18860,white,-210,50,0,0,0,0
18860,red,-190,50,0,0,0,0
18860,white,-170,50,0,0,0,0
18860,red,-150,50,0,0,0,0
18860,white,-130,50,0,0,0,0
18860,red,-110,50,0,0,0,0
18860,white,-90,50,0,0,0,0
18860,red,-70,50,0,0,0,0
18860,white,-50,50,0,0,0,0
18860,red,-30,50,0,0,0,0
18860,white,-10,50,0,0,0,0
18860,red,10,50,0,0,0,0
18860,white,30,50,0,0,0,0
18860,red,50,50,0,0,0,0
18860,white,70,50,0,0,0,0
18860,red,90,50,0,0,0,0
18860,white,110,50,0,0,0,0
18860,red,130,50,0,0,0,0
18860,white,150,50,0,0,0,0
18860,red,170,50,0,0,0,0
18860,white,190,50,0,0,0,0
18860,red,210,50,0,0,0,0
18860,white,230,50,0,0,0,0
18860,red,250,50,0,0,0,0
18860,white,270,50,0,0,0,0
18860,red,290,50,0,0,0,0
18860,white,310,50,0,0,0,0
18860,white,-310,70,0,0,0,0
18860,red,-290,70,0,0,0,0
18860,white,-270,70,0,0,0,0
18860,red,-250,70,0,0,0,0
18860,white,-230,70,0,0,0,0
18860,red,-210,70,0,0,0,0
18860,white,-190,70,0,0,0,0
